"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
1,"ASLEW",-5.81%,67.65%,219.72%,380.93%,3683.33%,510.22%,10.27%,9.33%,,154.86,5.49,7.06,-37.80%,42535
2,"GPL",-14.36%,-14.21%,-22.29%,-51.41%,-55.61%,-55.00%,6.54%,5.23%,2.30,1725.06,166.89,0.26,-33.01%,14394882
3,"PRPL",-1.49%,-7.07%,-30.41%,-37.03%,-29.62%,-41.71%,6.24%,4.62%,1.70,1064.06,18.56,13.00,-32.29%,987233
4,"POSH",0.45%,5.64%,-10.34%,-43.97%,,-75.83%,5.64%,5.03%,2.10,1016.13,14.00,16.70,-31.92%,711048
5,"HSDT",-15.17%,-10.73%,-21.35%,-20.10%,-7.55%,-8.16%,6.56%,5.24%,,23.09,39.85,8.50,-29.78%,46011
6,"SOS",-6.64%,-2.31%,-33.02%,-35.67%,4.98%,42.57%,7.52%,7.67%,5.00,10983.55,7.09,1.55,-26.54%,3895282
7,"UPST",-8.83%,0.90%,83.24%,241.66%,,669.84%,6.71%,7.06%,1.70,5325.44,2.89,233.12,-25.69%,768828
8,"ANPC",-3.53%,-16.89%,-40.87%,-42.66%,-30.90%,-53.58%,7.76%,6.99%,2.00,107.72,24.70,1.90,-22.76%,133055
9,"ASLE",-2.89%,30.65%,73.02%,93.82%,127.08%,70.69%,5.50%,5.19%,3.00,167.88,2.08,18.20,-20.49%,17501
10,"SHIPW",-28.10%,-49.64%,-59.13%,-60.36%,28.48%,-26.00%,35.37%,27.56%,,166.59,1.98,0.02,-19.64%,16501
11,"YMTX",-5.99%,-9.69%,-13.73%,-42.97%,-58.02%,-50.12%,5.74%,5.81%,1.70,149.27,47.56,6.89,-18.75%,354951
12,"METX",30.08%,122.12%,14.22%,-50.81%,-76.59%,-65.81%,20.63%,19.48%,2.00,84059.92,8.96,0.58,-14.85%,37639003
13,"ATXI",-3.07%,20.61%,-12.71%,-61.37%,-47.68%,-73.45%,9.84%,6.34%,3.00,63.99,184.95,1.35,-14.56%,591709
14,"DMTK",-5.28%,-11.71%,-20.67%,-10.71%,96.44%,-14.92%,5.26%,4.70%,1.50,392.99,1.86,23.75,-13.95%,36495
15,"PRGO",2.40%,4.45%,10.33%,3.65%,3.04%,6.06%,2.22%,2.02%,2.80,2117.76,2.39,41.00,-13.56%,253113
16,"VIEW",4.92%,32.51%,6.49%,-2.74%,-33.79%,-41.92%,5.38%,6.13%,2.00,1022.65,0.62,5.55,-13.28%,31951
17,"ID",-4.60%,-5.68%,-24.95%,-28.57%,-60.21%,-34.75%,5.20%,6.13%,,51.77,0.46,3.60,-13.25%,1180
18,"SHLS",3.18%,14.75%,1.58%,26.98%,,5.75%,4.27%,5.07%,2.10,1242.22,0.23,28.50,-13.00%,14004
19,"FTCI",0.11%,43.60%,-9.86%,7.53%,,-33.94%,6.50%,7.39%,2.10,739.76,8.44,8.25,-12.42%,312000
20,"DOCS",5.14%,8.71%,8.66%,,,44.36%,7.23%,7.25%,2.00,2367.60,0.82,67.08,-12.33%,96806
21,"HYMC",-0.59%,12.75%,-12.04%,-60.19%,-78.27%,-78.60%,4.76%,6.32%,1.50,277.27,7.45,1.48,-11.90%,103317
22,"REED",1.03%,9.15%,-14.88%,-27.08%,-22.08%,15.06%,5.72%,5.31%,2.00,1061.99,0.88,0.60,-11.76%,46769
23,"MNDY",21.72%,31.53%,84.46%,,,148.62%,7.93%,6.87%,1.90,281.97,1.80,392.99,-11.63%,25396
24,"PFMT",7.19%,-9.64%,-33.06%,64.82%,240.46%,272.30%,5.84%,5.45%,1.50,581.25,0.48,2.90,-11.59%,13836
25,"TRMD",9.83%,9.01%,7.42%,-2.00%,22.64%,25.25%,5.00%,5.34%,,173.47,1.65,7.83,-11.33%,14302
26,"BWEN",2.83%,26.74%,-14.62%,-25.17%,2.19%,-58.76%,9.22%,8.16%,2.20,620.75,2.19,2.90,-11.31%,68094
27,"TOST",-6.85%,18.28%,,,,-2.82%,10.34%,7.52%,,1889.93,0.68,54.00,-11.11%,63972
28,"FUBO",-1.87%,30.07%,4.12%,70.95%,126.14%,18.32%,5.66%,5.87%,1.70,6278.60,1.33,29.50,-10.96%,416928
29,"FDIS",1.67%,11.58%,9.18%,19.22%,40.58%,26.03%,1.45%,1.22%,,96.88,0.00,80.49,-10.68%,22
30,"PYXS",-11.65%,-2.08%,,,,-10.98%,12.22%,8.47%,,436.69,0.00,10.50,-10.62%,9
31,"DSP",4.22%,0.24%,-26.72%,-53.88%,,-73.62%,5.45%,5.16%,2.20,281.48,0.26,11.30,-10.25%,3605
32,"LPRO",9.19%,4.15%,-13.02%,-2.31%,21.75%,-3.15%,4.88%,3.86%,1.60,902.66,0.41,30.40,-10.22%,18330
33,"DAKT",7.09%,5.75%,-5.76%,-5.46%,39.90%,25.85%,4.10%,2.98%,3.00,119.05,12.56,5.29,-10.19%,74788
34,"EVLO",7.35%,53.15%,9.61%,7.56%,133.48%,-9.43%,12.06%,10.48%,2.10,360.99,0.04,9.86,-9.95%,771
35,"HYLN",4.01%,27.68%,-6.67%,6.92%,-61.83%,-46.54%,5.66%,5.10%,3.00,2763.23,1.20,7.96,-9.65%,165381
36,"NBEV",9.15%,20.14%,-20.48%,-20.10%,-36.74%,-36.50%,4.13%,3.78%,2.30,967.07,2.33,1.51,-9.58%,112501
37,"FENY",2.07%,4.83%,19.34%,14.64%,86.38%,60.49%,1.85%,1.75%,,943.21,0.00,14.75,-9.45%,26
38,"RDW",-5.48%,28.76%,18.39%,18.86%,,14.41%,7.54%,11.95%,,1245.66,2.14,10.80,-9.32%,133241
39,"AFMD",-11.88%,7.23%,0.65%,-31.84%,67.02%,7.04%,8.53%,5.32%,1.50,1158.29,3.90,5.65,-9.31%,225615
